no_surat,konten,isi_surat,jenis
1,hide," melaksanakan kerja praktik di pt asuransi tugu pratama tbk dari 1 maret 2023 s.d 31
agustus 2023. maka dengan ini kami mohon bantuan saudara berkenan memberikan izin bagi
mahasiswa tersebut.
",bukan keduanya
2,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai anggota penguji skripsi yang dilaksanakan di departemen
fisika fmipa universitas gadjah mada pada tanggal 3 april 2023.
",bukan keduanya
3,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai asesor untuk mengevaluasi dan menilai laporan kinerja dosen
(lkd) semester ganjil tahun akademik 2022/2023.
",bukan keduanya
4,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan workshop pengembangan rancangan mata kuliah fkip ut yang
dilaksanakan di wisma i it. 2 universitas terbuka, tangerang pada tanggal 2 maret 2023 s.d. 4 maret
2023.
",bukan keduanya
5,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai tim evaluator sistem informasi monitoring proses
pembelajaran (simoni) tahun 2023 yang dilaksanakan di program studi doktor fisika, departemen
fisika fakultas mipa universitas gadjah mada pada tanggal 1 januari 2023 s.d. 31 desember 2023.
",bukan keduanya
6,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pembinaan olimpiade penelitian siswa indonesia (opsi) tahun 2023
sebagai instruktur/pengajar bidang ipa dan lingkungan bagi siswa smp/mts yang dilaksanakan di
sma uii yogyakarta jl. taman siswa no.158, yogyakarta pada tanggal 20 maret 2023 s.d. 21 maret
2023.
",penelitian
7,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan .
",bukan keduanya
8,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan dosen pembimbing kerja praktik pada semester genap tahun ajaran
2022/2023 pada tanggal 29 maret 2023 s.d. 28 april 2023.
",bukan keduanya
9,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai asisten praktikum semester genap tahun akademik 2022/2023
yang dilaksanakan di laboratorium komputasi matematika departemen matematika fakultas mipa
ugm pada tanggal 1 februari 2023 s.d. 31 juli 2023.
",bukan keduanya
10,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan testing (tolong abaikan) yang dilaksanakan di testing (tolong abaikan).
",bukan keduanya
11,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi pendaftaran ujian pai dengan
jalur mahasiswa.
",bukan keduanya
12,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi perpanjangan tunjangan anak
pegawai negeri di kabuapten tanah datar
",bukan keduanya
13,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi mendapatkan tunjangan anak dan
bpjs.
",bukan keduanya
14,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan international conference on physical chemistry yang dilaksanakan di
universitas brawijaya, malang pada tanggal 28 oktober 2022 s.d. 30 oktober 2022.
",bukan keduanya
15,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pelatihan machine learning dlrc yang dilaksanakan di pjb academy
muara karang pada tanggal 15 november 2022 s.d. 18 november 2022.
",bukan keduanya
16,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi kelengkapan gaji orang tua dan
mengurus asuransi bpjs.
",bukan keduanya
17,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi beasiswa lpdp.
",bukan keduanya
18,hide,,bukan keduanya
19,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan mbkm dengan program matching fund kedaireka dari kemendikbud
yang dilaksanakan di laboratorium fisika material dan instrumentasi departemen fisika fakultas
mipa universitas gadjah mada pada tanggal 1 juni 2022 s.d. 31 desember 2022.
",bukan keduanya
20,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi laporan perkembangan studi untuk
beasiswa lpdp.
",bukan keduanya
